raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
slight,Slight,token,unknown,115,117,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=1; description=19; keywords=0; filename=0,"{""fx_name"":""Village Street Corner Slight Wind Calm France"",""description"":""MONTRICHARD - Village street corner. Slight wind throughout. Occasional birds, distant voices and indistinct music. Minimal semi-distant tr…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Thunder Close Cracking Rolling"",""description"":""Close thunder cracks and rolls with a slight metallic tonality and long booming tail. Birds heard distantly at times."",""category"":""WEATHER/THUNDER"",""cat_id"":""THUN""}","{""fx_name"":""Sweep Bubble Up Small"",""description"":""Laser noise with a slight sweeping bubble-up effect."",""category"":""LASERS/MISC"",""cat_id"":""LASRMisc""}",GUNCano; AMBRurl; THUN; LASRMisc; DSGNMisc,SWOOSHES/WHOOSH; GUNS/CANNON; DESIGNED/SYNTHETIC; METAL/IMPACT; VEHICLES/MECHANISM,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_3DS07_European_Life_Metadata_Stereo.xlsx#3DS07 European Life 2.0; 00_3DS14_Thunderstorm_Chaser_Stereo_Metadata.xlsx#3DS14 Stereo; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Brute_Force_Metadata.xlsx#Brute Force,1,19,0,0,medium,medium,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
bombard,Bombard,token,unknown,114,204,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Bombard 150m"",""description"":""Antique artillery, historic cannon bombard, cal 40mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Bombard 175m"",""description"":""Antique artillery, historic cannon bombard, cal 40mm. XY handheld recorder positioned 175m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Bombard 1m"",""description"":""Antique artillery, historic cannon bombard, cal 40mm. Small AB positioned 1m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,#REF!/#REF!; GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CANNONS Shots; 00_Cannons_CK_Metadata.xlsx#CACK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
ground,Ground,token,unknown,114,175,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Ground Impact"",""description"":""PROCESSED RUPTURE Hard hit, with rumbling and crumbling."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Dirt Bar Bell 14KG Ground Punchy"",""description"":""Steel ball of 14 kilograms being dropped onto ground. Deep and short hit."",""category"":""GUNS/CANNON"",""cat_id"":""DIRTImpt""}","{""fx_name"":""Firewood Several Fall On Ground"",""description"":""Several pieces of firewood falling onto the ground."",""category"":""WOOD/IMPACT"",""cat_id"":""WOODImpt""}",GUNCano; VOXFem; OBJLug; DSGNMisc; DIRTImpt,GUNS/CANNON; VOICES/FEMALE; #REF!/#REF!; OBJECTS/LUGGAGE; DESIGNED/IMPACT,00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_DS_Metadata.xlsx#METADATA STRATA,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
tonally,Tonally,token,unknown,114,114,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Metal Sequence Small Massive Impacts"",""description"":""Multiple, tonally clanging impacts."",""category"":""GUNS/CANNON"",""cat_id"":""METLMvmt""}","{""fx_name"":""Metal Sequence Small Massive Slide Into Impact Ring Out"",""description"":""Sliding with tonally clanging impacts."",""category"":""GUNS/CANNON"",""cat_id"":""METLMvmt""}","{""fx_name"":""Wood And Metal Heavy Rattling Long"",""description"":""Shaking pile of wooden and metallic pieces. Long and slightly, tonally ringing."",""category"":""GUNS/CANNON"",""cat_id"":""WOODMvmt""}",CREAHmn; METLMvmt; WOODMvmt; WOODImpt,CREATURES/HUMANOID; GUNS/CANNON,00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK; 00_Cannons_CK_Metadata.xlsx#CACK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
whining,Whining,token,unknown,113,118,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=2; description=18; keywords=0; filename=0,"{""fx_name"":""High Whining In Metal Drone Out"",""description"":""Metallic, whining and zapping pass by whooshes in a high-end range, ending with a drone texture."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}","{""fx_name"":""Tonal Whining Incoming"",""description"":""High pitched, tonal whoosh with an incoming, whining effect."",""category"":""DESIGNED/WHOOSH"",""cat_id"":""DSGNWhsh""}","{""fx_name"":""Hoover Balloon Friction Incoming Short Tonal"",""description"":""Vacuum cleaner sucking in air with a balloon friction. Short, whining and tonal."",""category"":""AIR/SUCTION"",""cat_id"":""AIRSuck""}",CRWDBatl; WHSH; DSGNWhsh; AIRSuck,CROWDS/BATTLE; SWOOSHES/WHOOSH; DESIGNED/WHOOSH; AIR/SUCTION,00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Superheroes_Speed_and_Strength_CK_Metadata.xlsx#SHCK,2,18,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
back,Back,token,unknown,112,223,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Transient Processed Balloon Friction Rub Back Front"",""description"":""Punch, Hit. Hard, slightly raspy impact. Heavily processed."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Smack Back"",""description"":""Punch noise emulating a back smack."",""category"":""FIGHT/IMPACT"",""cat_id"":""FGHTImpt""}","{""fx_name"":""Snap Back"",""description"":""PROCESSED FRACTION Short cuts, like chopping wood."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",GUNCano; MUSCStr; DSGNMisc; CREASrce; FGHTImpt,MUSICAL/STRINGED; GUNS/CANNON; #REF!/#REF!; DESIGNED/MISC; MUSICAL/PERCUSSION,00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_Brute_Force_Metadata.xlsx#Brute Force; 00_Cannons_CK_Metadata.xlsx#CACK; 00_Cannons_CK_Metadata.xlsx#CANNONS Foley; 00_Cannons_DS_Metadata.xlsx#CANNONS Foley,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
freight,Freight,token,unknown,112,272,3,5,reject,record_count>=100 +15; field_diversity>=1.5 +10; unknown_generic_token -20; policy=unknown,fx_name=0; description=0; keywords=20; filename=0,"{""fx_name"":"""",""description"":""Driving ambience of shunting diesel engine. Horn at beginning. Light rattling elements, pneumatics and docking sounds. Stereo."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Long driving ambience of diesel loco recorded from an opened door. Grinding sounds of tracks and some light rattling parts and clacking ele…"",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Fast exterior freight train ambience with clacking and squeaking parts. Stereo Encoded from Double M/S."",""category"":""Vehicles/Trains"",""cat_id"":""""}",,Vehicles/Trains,Trains_Stereo.xlsx#Trains - Stereo,0,0,20,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
squeeze,Squeeze,token,unknown,112,279,3,20,reject,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown; governed_aliases=1,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Squeeze Basic"",""description"":""Liquid interaction, characterized by a gentle compression or pressure."",""category"":""USER INTERFACE/MISC"",""cat_id"":""UIMisc""}","{""fx_name"":""Squeeze Button"",""description"":""Liquid button interaction, characterized by a distinct and tactile compression."",""category"":""USER INTERFACE/MISC"",""cat_id"":""UIMisc""}","{""fx_name"":""Squeeze High Fast"",""description"":""High-speed liquid interaction, characterized by a rapid and energetic compression."",""category"":""USER INTERFACE/MISC"",""cat_id"":""UIMisc""}",FOODCook; UIMisc; WHSH; OBJTape; PAPRMisc,FOOD & DRINK/COOKING; USER INTERFACE/MISC; SWOOSHES/WHOOSH; OBJECTS/TAPE; PAPER/MISC,00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK,20,0,0,0,medium,high,weak,existing_keep,no,category_mismatch;rejected_evidence
varying,Varying,token,unknown,112,130,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=7; description=13; keywords=0; filename=0,"{""fx_name"":""Night Wind Varying"",""description"":""A moderate and varying wind sweeps through the tree canopy in a cloud forest at night. Insects and frogs chirp vibrantly throughout. Tree d…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Thunder Close Rain Drops Varying"",""description"":""Close thunder is heard occasionally with large raindrops falling from the tree canopy. Rain is varying in intensity. Occasional distant bir…"",""category"":""WEATHER/STORM"",""cat_id"":""STORM""}","{""fx_name"":""Thunder Close Rain Varying"",""description"":""Thunder at varying distances with quickly varying rainfall throughout. Close powerful thunder at times. Distant birds occasionally."",""category"":""WEATHER/STORM"",""cat_id"":""STORM""}",STORM; AMBSwmp; AMBTrop,WEATHER/STORM; DESIGNED/SYNTHETIC; AMBIENCE/SWAMP; AMBIENCE/TROPICAL; MUSICAL/PERCUSSION,00_3DS14_Thunderstorm_Chaser_Stereo_Metadata.xlsx#3DS14 Stereo; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_3DS16_Swamps_Stereo_Metadata.xlsx#3DS16 Swamp Stereo; 00_3DS13_Tropical_Jungle_Stereo_Metadata.xlsx#3DS13 Tropical Stereo; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK,7,13,0,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
agony,Agony,token,unknown,111,111,3,10,reject,record_count>=100 +15; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Agony 10m"",""description"":""A squad of 10 women performing a wailing scream. Recorded in an open field with an AB setup at medium distance."",""category"":""CROWDS/BATTLE"",""cat_id"":""CRWDBatl""}","{""fx_name"":""Agony 20m"",""description"":""A squad of 10 women performing a wailing scream. Recorded in an open field with a MS setup at a distance."",""category"":""CROWDS/BATTLE"",""cat_id"":""CRWDBatl""}","{""fx_name"":""Agony 30m"",""description"":""A squad of 10 women performing a wailing scream. Recorded in an open field with an ambisonics setup at a distance."",""category"":""CROWDS/BATTLE"",""cat_id"":""CRWDBatl""}",CRWDBatl,CROWDS/BATTLE,00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
fired,Fired,token,unknown,111,111,3,0,reject,record_count>=100 +15; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Sizzle Burst"",""description"":""PROCESSED MOVEMENT CONTINUOUS Distorted rumble, with continuous cracking, like shots being fired."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Thumper"",""description"":""PROCESSED HIT LOW Deep pound like sound, resembling shot fired, with feedback."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Warfare"",""description"":""PROCESSED MOVEMENT CONTINUOUS Hard attack, resembling shots fired from different directions."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",DSGNMisc,DESIGNED/SYNTHETIC; DESIGNED/MISC; GUNS/MISC,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Brute_Force_Metadata.xlsx#Brute Force,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
away cannon,Away Cannon,phrase,unknown,1103,1103,3,20,reject,record_count>=1000 +25; category_aligned +10; unnatural_order -15; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
group shots,Group Shots,phrase,unknown,1052,1052,3,10,reject,record_count>=1000 +25; appears_in_fx_name +15; metadata_noise -30; policy=hard_reject,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Group Shots 01 100m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 100m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Group Shots 01 120m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 120m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Group Shots 01 130m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. MS positioned 130m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
world war,World War,phrase,unknown,1047,1047,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 20m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto,GUNS/RIFLE; GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
second world,Second World,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; metadata_noise -30; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 20m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto,GUNS/RIFLE; GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
second world war,Second World War,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 20m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto,GUNS/RIFLE; GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
war wwii,War Wwii,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
war wwii weapons,War Wwii Weapons,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
world war wwii,World War Wwii,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
wwii weapons,Wwii Weapons,phrase,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 20m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto,GUNS/RIFLE; GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
antique artillery,Antique Artillery,phrase,unknown,841,841,3,5,reject,record_count>=500 +20; unnatural_order -15; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 175m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
high frequency,High Frequency,phrase,unknown,831,834,3,0,reject,record_count>=500 +20; appears_in_fx_name +15; mic_spec -40; policy=hard_reject; governed_aliases=1,fx_name=6; description=14; keywords=0; filename=0,"{""fx_name"":""High Frequency Riser Harsh"",""description"":""Sharp, high-pitched sharp accent that rises in frequency."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""High Frequency Shimmer Scream"",""description"":""High pitched and screech like sound."",""category"":""DESIGNED/TONAL"",""cat_id"":""DSGNTonl""}","{""fx_name"":""Distorted High Frequency"",""description"":""Metallic, fast movement. Frictioning and sliding."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}",WHSH; DSGNMisc; UIMisc; DSGNSynth; EXPLDsgn,SWOOSHES/WHOOSH; DESIGNED/MISC; USER INTERFACE/MISC; DESIGNED/SYNTHETIC; EXPLOSIONS/DESIGNED,00_Casual_UI_CK_Metadata.xlsx#CK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Casual_UI_DS_Metadata.xlsx#DS; 00_MATTER_Metadata.xlsx#MATTER; 00_Anime_Essentials_Metadata.xlsx#Anime,6,14,0,0,medium,high,weak,existing_keep,no,ambiguous_token;category_mismatch;rejected_evidence
frequency response,Frequency Response,phrase,unknown,763,763,3,0,reject,record_count>=500 +20; mic_spec -40; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Asian Palm Civet Growl Moan"",""description"":""Wild, Toddy Cat, Mammal. Furious, tonal screaming, moaning and jabbering. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Aztec Death Whistle Air Burst"",""description"":""Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Aztec Death Whistle Breath Tonal Raspy Hard"",""description"":""Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",BIRDPrey; CREASrce; ANMLMisc,BIRDS/BIRD OF PREY; CREATURES/SOURCE; ANIMALS/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
high frequency response,High Frequency Response,phrase,unknown,762,762,3,0,reject,record_count>=500 +20; mic_spec -40; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Asian Palm Civet Growl Moan"",""description"":""Wild, Toddy Cat, Mammal. Furious, tonal screaming, moaning and jabbering. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Aztec Death Whistle Air Burst"",""description"":""Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Aztec Death Whistle Breath Tonal Raspy Hard"",""description"":""Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",BIRDPrey; CREASrce; ANMLMisc,BIRDS/BIRD OF PREY; CREATURES/SOURCE; ANIMALS/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK,0,20,0,0,low,low,weak,existing_unknown,no,ambiguous_token;description_only;category_mismatch;rejected_evidence
sanken high,Sanken High,phrase,unknown,761,761,3,0,reject,record_count>=500 +20; mic_spec -40; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,ambiguous_token;category_unknown;insufficient_unique_examples;rejected_evidence
sanken high frequency,Sanken High Frequency,phrase,unknown,761,761,3,0,reject,record_count>=500 +20; mic_spec -40; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,ambiguous_token;category_unknown;insufficient_unique_examples;rejected_evidence
gun cal,Gun Cal,phrase,unknown,748,748,3,15,reject,record_count>=500 +20; category_aligned +10; unnatural_order -15; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,ambiguous_token;category_unknown;insufficient_unique_examples;rejected_evidence
antique artillery historic,Antique Artillery Historic,phrase,unknown,741,741,3,5,reject,record_count>=500 +20; unnatural_order -15; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
artillery historic,Artillery Historic,phrase,unknown,741,741,3,5,reject,record_count>=500 +20; unnatural_order -15; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
artillery historic cannon,Artillery Historic Cannon,phrase,unknown,741,741,3,15,reject,record_count>=500 +20; category_aligned +10; unnatural_order -15; policy=hard_reject,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,category_unknown;insufficient_unique_examples;rejected_evidence
historic cannon,Historic Cannon,phrase,unknown,741,741,3,15,reject,record_count>=500 +20; category_aligned +10; unnatural_order -15; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 175m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,0,20,0,0,low,low,aligned,existing_unknown,no,description_only;duplicate_examples;rejected_evidence
very close,Very Close,phrase,unknown,720,748,3,0,reject,record_count>=500 +20; metadata_noise -30; policy=hard_reject,fx_name=0; description=6; keywords=14; filename=0,"{""fx_name"":"""",""description"":""PISTOL Caliber 9mm, very close, 1m distance, mono, dynamic mic."",""category"":""GUNS/PISTOL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""PISTOL Caliber 9mm, very close, 1m distance, mono."",""category"":""GUNS/PISTOL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""PISTOL Caliber .454, very close, 1m distance, mono."",""category"":""GUNS/PISTOL"",""cat_id"":""""}",CRWDBatl,GUNS/PISTOL; CROWDS/BATTLE; GUNS/RIFLE; GUNS/SHOTGUN,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle,0,6,14,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
